675,934.621,675,864.621,1409.36,1
835,385.383,914.617,415,562.216,1
594.616,15,435,125.384,287.128,1
664.615,635,985,315.385,102.109,1
664.614,635,515.386,585,2722.02,1
664.61,635,515.39,585,2722.08,1
435,125.399,594.601,15,444.605,1
445,524.6,515.4,585,5380.57,1
675,864.599,675,934.599,135.523,1
445,524.598,515.402,585,5380.38,1
675,934.598,675,864.598,1409.64,1
835,385.403,914.597,415,562.216,1
515,365.406,535,345.406,1303.72,1
515,365.41,535,345.41,1303.72,1
594.589,15,435,125.411,287.111,1
694.585,295,835,385.415,636.193,1
535,345.416,515,365.416,1126.58,1
594.582,15,435,125.418,287.106,1
535,345.421,515,365.421,1126.58,1
515.423,585,445,524.577,8076.28,1
675,934.577,675,864.577,1409.89,1
435,125.424,594.576,15,444.605,1
664.569,635,515.431,585,2722.73,1
664.565,635,515.435,585,2722.79,1
445,524.564,515.436,585,5375.98,1
445,524.563,515.437,585,5375.86,1
515,365.44,535,345.44,1303.72,1
515.441,585,445,524.559,8073.33,1
535,345.444,515,365.444,1126.58,1
435,125.45,594.55,15,444.605,1
535,345.452,515,365.452,1126.58,1
675,934.546,675,864.546,1410.27,1
435,125.455,594.545,15,444.605,1
435,125.456,594.544,15,444.605,1
515,365.457,535,345.457,1303.72,1
515,974.542,675,934.542,2068.79,1
694.541,295,835,385.459,636.158,1
55.4626,545,145.463,345,973.583,0
664.534,635,515.466,585,2723.29,1
675,934.533,675,864.533,1410.43,1
664.531,635,515.469,585,2723.33,1
675,934.527,675,864.527,1410.5,1
445,524.526,515.474,585,5371.22,1
675,934.524,675,864.524,1410.53,1
515.477,585,445,524.523,174.87,1
675,864.52,675,934.52,135.622,1
694.517,295,835,385.483,636.139,1
515,974.517,675,934.517,2069.55,1
515.484,585,445,524.516,8066.32,1
445,524.513,515.487,585,127.235,1
515,974.51,675,934.51,2069.73,1
515,974.508,675,934.508,2069.79,1
675,934.504,675,864.504,1410.77,1
445,524.502,515.498,585,116.362,1
445,524.499,515.501,585,5367.82,1
535,345.504,515,365.504,1126.58,1
535,345.505,515,365.505,1126.58,1
515,365.513,535,345.513,1303.72,1
835,385.516,914.484,415,562.216,1
835,385.518,914.482,415,562.216,1
515,365.521,535,345.521,1303.72,1
445,524.477,515.523,585,5365.05,1
694.474,295,835,385.526,636.105,1
105.529,815,55.5292,545,1422.74,1
515,365.533,535,345.533,1303.72,1
105.533,815,55.5331,545,1422.78,1
675,864.459,675,934.459,135.698,1
675,864.457,675,934.457,135.701,1
594.454,15,435,125.546,287.025,1
515.547,585,445,524.453,8056.19,1
835,385.576,914.424,415,562.216,1
515,974.421,675,934.421,2072.39,1
675,864.42,675,934.42,135.747,1
664.418,635,515.582,585,2725.14,1
675,934.415,675,864.415,1411.85,1
515.585,585,445,524.415,8050.04,1
55.5891,545,145.589,345,973.924,0
105.592,815,55.5924,545,1423.46,1
105.599,815,55.5987,545,1423.54,1
664.396,635,515.604,585,2725.48,1
664.395,635,515.605,585,2725.49,1
675,934.393,675,864.393,1412.12,1
535,345.612,515,365.612,1126.58,1
55.614,545,145.614,345,973.991,0
445,524.386,515.614,585,5353.55,1
675,934.382,675,864.382,1412.26,1
515.621,585,445,524.379,8044.33,1
535,345.624,515,365.624,1126.58,1
535,345.626,515,365.626,1126.58,1
515,974.372,675,934.372,2073.84,1
515,365.63,535,345.63,1303.72,1
594.369,15,435,125.631,286.971,1
515,974.363,675,934.363,2074.12,1
515,974.36,675,934.36,2074.22,1
594.359,15,435,125.641,286.965,1
515,974.358,675,934.358,2074.28,1
594.357,15,435,125.643,286.963,1
694.356,295,535,345.644,636.01,1
515,365.649,535,345.649,1303.72,1
55.6493,545,145.649,345,974.086,0
435,125.652,594.348,15,444.605,1
535,345.656,515,365.656,1126.58,1
515,365.659,535,345.659,1303.72,1
515,974.341,675,934.341,2074.79,1
515,365.66,535,345.66,1303.72,1
515,974.339,675,934.339,2074.84,1
535,345.662,515,365.662,1126.58,1
55.6627,545,145.663,345,974.122,0
694.332,295,535,345.668,635.991,1
835,385.682,914.318,415,562.216,1
835,385.683,914.317,415,562.216,1
515,974.31,675,934.31,2075.71,1
594.309,15,435,125.691,286.932,1
675,934.307,675,864.307,1413.15,1
694.306,295,535,345.694,635.97,1
535,345.698,515,365.698,1126.58,1
515,974.301,675,934.301,2075.97,1
515.709,585,445,524.291,174.101,1
445,524.288,515.712,585,5341.35,1
675,934.287,675,864.287,1413.39,1
445,524.287,515.713,585,5341.16,1
515.716,585,445,524.284,8029.07,1
515.719,585,445,524.281,8028.67,1
664.278,635,515.722,585,2727.36,1
105.734,815,55.7339,545,1425.09,1
435,125.737,594.263,15,444.605,1
594.261,15,435,125.739,286.902,1
105.74,815,55.7398,545,1425.16,1
535,345.741,515,365.741,1126.58,1
675,934.256,675,864.256,1413.77,1
55.7453,545,145.745,345,974.345,0
664.254,635,515.746,585,2727.74,1
594.24,15,435,125.76,286.889,1
515,974.236,675,934.236,2077.9,1
594.236,15,435,125.764,286.886,1
435,125.765,594.235,15,444.605,1
694.232,295,535,345.768,635.911,1
515.77,585,445,524.23,173.899,1
445,524.229,515.771,585,5333.97,1
675,864.228,675,934.228,135.987,1
515.773,585,445,524.227,8020.01,1
594.223,15,435,125.777,286.878,1
55.7814,545,145.781,345,974.442,0
515.782,585,445,524.218,8018.48,1
435,125.789,594.211,15,444.605,1
694.209,295,535,345.791,635.893,1
694.208,295,535,345.792,635.892,1
664.205,635,515.795,585,2728.51,1
105.796,815,55.7958,545,1425.81,1
435,125.801,594.199,15,444.605,1
435,125.802,594.198,15,444.605,1
594.195,15,435,125.805,286.86,1
105.805,815,55.8053,545,1425.92,1
435,125.806,594.194,15,444.605,1
515,365.807,535,345.807,1303.72,1
445,524.19,515.81,585,5329.09,1
55.8119,545,145.812,345,974.524,0
105.813,815,55.8131,545,1426.01,1
594.186,15,435,125.814,286.855,1
835,385.817,914.183,415,562.216,1
835,385.819,914.181,415,562.216,1
664.18,635,835,385.82,159.039,1
664.175,635,515.825,585,2728.99,1
675,864.172,675,934.172,136.058,1
535,345.844,515,365.844,1126.58,1
105.845,815,55.8451,545,1426.38,1
105.846,815,55.846,545,1426.39,1
435,125.847,594.153,15,444.605,1
515.849,585,445,524.151,8007.86,1
535,345.85,515,365.85,1126.58,1
515.851,585,445,524.149,8007.5,1
515,974.148,675,934.148,2080.55,1
694.147,295,535,345.853,635.842,1
535,345.857,515,365.857,1126.58,1
835,385.86,914.14,415,562.216,1
675,864.138,675,934.138,136.101,1
675,864.136,675,934.136,136.103,1
445,524.134,515.866,585,5322.13,1
675,864.133,675,934.133,136.107,1
445,524.131,515.869,585,5321.81,1
675,864.131,675,934.131,136.11,1
515,974.13,675,934.13,2081.1,1
445,524.129,515.871,585,5321.46,1
445,524.126,515.874,585,5321.08,1
105.882,815,55.8819,545,1426.8,1
594.118,15,435,125.882,286.811,1
664.116,635,515.884,585,2729.92,1
515,365.888,535,345.888,1303.72,1
535,345.891,515,365.891,1126.58,1
694.106,295,535,345.894,635.81,1
835,385.896,914.104,415,562.216,1
55.8975,545,145.897,345,974.755,0
105.901,815,55.9011,545,1427.02,1
515,365.902,535,345.902,1303.72,1
105.903,815,55.9028,545,1427.04,1
105.904,815,55.9039,545,1427.06,1
55.9051,545,145.905,345,974.775,0
535,345.906,515,365.906,1126.58,1
435,125.908,594.092,15,444.605,1
105.911,815,55.9105,545,1427.13,1
594.089,15,435,125.911,286.793,1
675,864.086,675,934.086,136.166,1
675,934.085,675,864.085,1415.84,1
445,524.085,515.915,585,5315.98,1
835,385.917,914.083,415,562.216,1
664.08,635,515.92,585,2730.49,1
675,864.076,675,934.076,136.178,1
435,125.926,594.074,15,444.605,1
515.927,585,445,524.073,7995.42,1
515,974.064,675,934.064,2083.07,1
445,524.063,515.937,585,5313.27,1
675,934.044,675,864.044,1416.35,1
515.957,585,445,524.043,7990.66,1
515.962,585,445,524.038,7989.81,1
675,864.036,675,934.036,136.228,1
55.9682,545,145.968,345,974.945,0
694.031,295,535,345.969,635.749,1
675,934.023,675,864.023,1416.6,1
105.983,815,55.9829,545,1427.97,1
105.987,815,55.9871,545,1428.02,1
105.99,815,55.9896,545,1428.05,1
515,974.009,675,934.009,2084.72,1
694.008,295,535,345.992,635.731,1
664.006,635,515.994,585,2731.67,1
664.004,635,515.996,585,2731.7,1
445,524.002,515.998,585,5305.73,1
535,345.999,515,365.999,1126.58,1
675,933.997,675,863.997,1416.92,1
535,346.025,515,366.025,1126.58,1
106.026,815,56.0257,545,1428.46,1
663.971,635,516.029,585,2732.23,1
663.97,635,516.03,585,2732.25,1
663.969,635,516.031,585,2732.26,1
435,126.04,593.96,15,444.605,1
106.04,815,56.0404,545,1428.63,1
515,973.954,675,933.954,2086.38,1
593.953,15,435,126.047,286.706,1
693.951,295,535,346.049,635.685,1
693.946,295,535,346.054,635.681,1
515,366.058,535,346.058,1303.72,1
106.06,815,56.0602,545,1428.86,1
535,346.061,515,366.061,1126.58,1
835,386.066,913.934,415,562.216,1
835,386.067,913.933,415,562.216,1
693.93,295,535,346.07,635.668,1
435,126.08,593.92,15,444.605,1
106.089,815,56.0892,545,1429.2,1
535,346.092,515,366.092,1126.58,1
535,346.093,515,366.093,1126.58,1
515,973.906,675,933.906,2087.82,1
535,346.096,515,366.096,1126.58,1
516.101,585,445,523.899,7967.83,1
516.102,585,445,523.898,7967.62,1
675,933.897,675,863.897,1418.13,1
435,126.104,593.896,15,444.605,1
693.89,295,535,346.11,635.636,1
663.889,635,913.889,415,159.307,1
515,366.118,535,346.118,1303.72,1
835,386.119,913.881,415,562.216,1
675,933.88,675,863.88,1418.34,1
535,346.136,515,366.136,1126.58,1
435,126.139,593.861,15,444.605,1
435,126.141,593.859,15,444.605,1
106.142,815,56.142,545,1429.81,1
675,863.856,675,933.856,136.455,1
516.146,585,445,523.854,7960.72,1
675,863.853,675,933.853,136.459,1
693.85,295,535,346.15,635.603,1
835,386.153,913.847,415,562.216,1
835,386.154,913.846,415,562.216,1
835,386.155,913.845,415,562.216,1
56.1611,545,146.161,345,975.464,0
593.835,15,435,126.165,286.631,1
516.167,585,445,523.833,7957.38,1
675,933.83,675,863.83,1418.94,1
435,126.171,593.829,15,444.605,1
675,933.828,675,863.828,1418.97,1
435,126.173,593.827,15,444.605,1
445,523.826,516.174,585,114.613,1
675,863.825,675,933.825,136.494,1
516.177,585,445,523.823,7955.79,1
835,386.18,913.82,415,562.216,1
106.183,815,56.1826,545,1430.28,1
535,346.186,515,366.186,1126.58,1
106.187,815,56.1868,545,1430.33,1
535,346.187,515,366.187,1126.58,1
535,346.188,515,366.188,1126.58,1
106.189,815,56.1889,545,1430.35,1
693.81,295,535,346.19,635.571,1
535,346.193,515,366.193,1126.58,1
535,346.196,515,366.196,1126.58,1
435,126.199,593.801,15,444.605,1
435,126.202,593.798,15,444.605,1
435,126.206,593.794,15,444.605,1
535,346.216,515,366.216,1126.58,1
445,523.782,516.218,585,5278.64,1
106.224,815,56.2242,545,1430.76,1
515,973.772,675,933.772,2091.86,1
535,346.229,515,366.229,1126.58,1
535,346.23,515,366.23,1126.58,1
435,126.232,593.768,15,444.605,1
435,126.233,593.767,15,444.605,1
435,126.235,593.765,15,444.605,1
106.238,815,56.2378,545,1430.92,1
535,346.24,515,366.24,1126.58,1
435,126.243,593.757,15,444.605,1
106.246,815,56.2458,545,1431.01,1
593.751,15,435,126.249,286.578,1
835,386.251,913.749,415,562.216,1
675,863.747,675,933.747,136.592,1
535,346.259,515,366.259,1126.58,1
106.261,815,56.2609,545,1431.19,1
435,126.262,593.738,15,444.605,1
516.264,585,445,523.736,7942.14,1
515,366.266,535,346.266,1303.72,1
515,366.272,535,346.272,1303.72,1
535,346.276,515,366.276,1126.58,1
435,126.278,593.722,15,444.605,1
435,126.279,593.721,15,444.605,1
675,863.719,675,933.719,136.627,1
675,863.718,675,933.718,136.628,1
835,386.284,913.716,415,562.216,1
535,346.285,515,366.285,1126.58,1
675,863.713,675,933.713,136.634,1
435,126.288,593.712,15,444.605,1
675,863.711,675,933.711,136.637,1
445,523.71,516.29,585,5269.77,1
675,933.708,675,863.708,1420.42,1
675,863.707,675,933.707,136.643,1
535,346.295,515,366.295,1126.58,1
515,973.704,675,933.704,2093.91,1
106.299,815,56.2994,545,1431.63,1
516.301,585,445,523.699,172.164,1
516.305,585,445,523.695,7935.67,1
535,346.308,515,366.308,1126.58,1
535,346.309,515,366.309,1126.58,1
535,346.31,515,366.31,1126.58,1
835,386.317,913.683,415,562.216,1
593.676,15,435,126.324,286.53,1
435,126.327,593.673,15,444.605,1
435,126.328,593.672,15,444.605,1
435,126.329,593.671,15,444.605,1
56.3321,545,146.332,345,975.923,0
56.3334,545,146.333,345,975.927,0
693.66,295,535,346.34,635.451,1
663.659,635,516.341,585,2737.18,1
693.656,295,535,346.344,635.447,1
663.655,635,516.345,585,2737.25,1
535,346.347,515,366.347,1126.58,1
515,366.35,535,346.35,1303.72,1
535,346.352,515,366.352,1126.58,1
435,126.357,593.643,15,444.605,1
435,126.362,593.638,15,444.605,1
535,346.362,515,366.362,1126.58,1
593.634,15,435,126.366,286.504,1
445,523.633,516.367,585,5260.29,1
835,386.379,913.621,415,562.216,1
516.381,585,445,523.619,7923.75,1
515,366.385,535,346.385,1303.72,1
515,973.613,675,933.613,2096.66,1
835,386.389,913.611,415,562.216,1
435,126.391,593.609,15,444.605,1
435,126.395,593.605,15,444.605,1
435,126.398,593.602,15,444.605,1
435,126.399,593.601,15,444.605,1
106.4,815,56.3998,545,1432.8,1
515,366.402,535,346.402,1303.72,1
106.403,815,56.4031,545,1432.84,1
516.406,585,445,523.594,7919.75,1
445,523.592,516.408,585,114.016,1
675,863.59,675,933.59,136.79,1
516.413,585,445,523.587,7918.66,1
675,933.586,675,863.586,1421.91,1
516.416,585,445,523.584,7918.23,1
516.417,585,445,523.583,7918.06,1
593.579,15,435,126.421,286.469,1
693.572,295,535,346.428,635.379,1
515,973.57,675,933.57,2097.97,1
693.57,295,535,346.43,635.377,1
663.567,635,516.433,585,2738.64,1
435,126.437,593.563,15,444.605,1
663.56,635,516.44,585,2738.76,1
835,386.442,913.558,415,562.216,1
835,386.443,913.557,415,562.216,1
516.45,585,445,523.55,7912.92,1
435,126.451,593.549,15,444.605,1
835,386.452,913.548,415,562.216,1
663.547,635,895,653.547,102.58,1
663.544,635,516.456,585,2739,1
535,346.461,515,366.461,1126.58,1
56.4613,545,146.461,345,976.27,0
56.4661,545,146.466,345,976.283,0
435,126.468,593.532,15,444.605,1
593.524,15,435,126.476,286.433,1
693.523,295,535,346.477,635.339,1
663.518,635,516.482,585,2739.41,1
516.485,585,445,523.515,7907.36,1
675,933.514,675,863.514,1422.79,1
835,386.488,913.512,415,562.216,1
675,863.51,675,933.51,136.89,1
516.492,585,445,523.508,7906.31,1
516.494,585,445,523.506,7906.01,1
835,386.495,913.505,415,562.216,1
445,523.504,516.496,585,5244.6,1
675,863.503,675,933.503,136.899,1
515,973.5,675,933.5,2100.11,1
516.501,585,445,523.499,7904.83,1
516.505,585,445,523.495,7904.28,1
693.491,295,535,346.509,635.314,1
515,973.491,675,933.491,2100.39,1
693.488,295,535,346.512,635.311,1
693.487,295,535,346.513,635.31,1
435,126.516,593.484,15,444.605,1
106.516,815,56.5165,545,1434.16,1
435,126.518,593.482,15,444.605,1
535,346.519,515,366.519,1126.58,1
435,126.52,593.48,15,444.605,1
835,386.522,913.478,415,562.216,1
693.469,295,535,346.531,635.296,1
693.467,295,535,346.533,635.295,1
693.465,295,535,346.535,635.293,1
516.536,585,445,523.464,187.407,1
516.537,585,445,523.463,7899.18,1
445,523.461,516.539,585,5239.35,1
515,366.541,535,346.541,1303.72,1
435,126.546,593.454,15,444.605,1
445,523.453,516.547,585,5238.35,1
693.446,295,535,346.554,635.277,1
693.445,295,535,346.555,635.276,1
516.558,585,445,523.442,7895.89,1
